Company Name,Domain,Industry,City,State,Postal Code,Country,Headcount,Linkedin,Description,Company Type,Tags,Source
TÜV Rheinland,tuv.com,Public Safety,Köln,Nordrhein-Westfalen,,Germany,10001+,https://www.linkedin.com/company/tuv-rheinland-group,"TÜV Rheinland is a certification and inspection company that specializes in testing, quality assurance, and compliance services.",public company,"",Import (file: export-11-leads)
Idealo,idealo.de,Advertising Services,,,,,501 to 1000,https://www.linkedin.com/company/idealo-private-network,,,"",Import (file: export-11-leads)
WWF Germany,wwf.de,Non-profit Organizations,Berlin,Berlin,,Germany,201 to 500,https://www.linkedin.com/company/wwf-germany,WWF Deutschland is a nonprofit organization focused on conservation and environmental protection with a mission to preserve wildlife.,non profit,"",Import (file: export-11-leads)
cint.com,cint.com,,,,,,,,,,"",Import (file: export-11-leads)
Hybrid.ai,hybrid.ai,Advertising Services,Berlin,Berlin,,Germany,51 to 200,https://www.linkedin.com/company/hybrid-adtech-inc-,Hybrid.ai is a digital marketing company that specializes in AI-powered data analytics and machine learning solutions.,privately held,"",Import (file: export-11-leads)
WinLocal,winlocal.de,Advertising Services,Frankfurt am Main,Hessen,,Germany,11 to 50,https://www.linkedin.com/company/winlocal-gmbh,WinLocal is a company that specializes in helping local service providers acquire more new customers online through various internet marketing strategies.,privately held,"",Import (file: export-11-leads)
Competitionline Verlags,competitionline.com,,,,,Germany,,https://www.linkedin.com/company/competitionline-verlags-gmbh,"Competitionline is a platform that connects professionals in the architecture, construction, and design industries to competitions and projects.",,"",Import (file: export-11-leads)
GDV Dienstleistungs-,gdv-dl.de,Insurance,Hamburg,Hamburg,,Germany,201 to 500,https://www.linkedin.com/company/gdv-dienstleistungs-gmbh,GDV DL is an insurance company based in Germany.,public company,"",Import (file: export-11-leads)
FERCHAU,ferchau.com,Engineering Services,Gummersbach,Nordrhein-Westfalen,,Germany,5001 to 10000,https://www.linkedin.com/company/ferchau,"FERCHAU is an engineering services company that provides technical staffing, industrial solutions, and technology consulting.",privately held,"",Import (file: export-11-leads)
Gastspielreisen Rodenberg,gastspielreisen.com,,Berlin,Berlin,,Germany,,https://www.linkedin.com/company/gastspielreisen-rodenberg-gmbh,,,"",Import (file: export-11-leads)
Dbb vorteilswelt,dbb-vorteilswelt.de,,Berlin,Berlin,,Germany,,https://www.linkedin.com/company/dbb-vorteilswelt,"dbb vorteilsClub is a financial services company that offers discounts on insurance, financial products, and online shopping to government employees and salaried workers for retirement planning.",,"",Import (file: export-11-leads)
Ecosummit,ecosummit.net,Venture Capital and Private Equity Principals,Berlin,Berlin,,Germany,1 to 10,https://www.linkedin.com/company/ecosummit,"Ecosummit is a startup accelerator and investment platform that focuses on decarbonizing the economy and promoting sustainability through innovative technologies in various sectors, including energy and mobility.",privately held,"",Import (file: export-11-leads)
Zone35,zone35.de,"Technology, Information and Internet",,,,Germany,,https://www.linkedin.com/company/zone35,Zone35 is a digital media agency that operates the most used online consulting platform beranet.de.,,"",Import (file: export-11-leads)
Iyuno,iyuno.com,Translation and Localization,Burbank,California,,United States,1001 to 5000,https://www.linkedin.com/company/iyunohq,"Iyuno is a Media Localization company that specializes in audiovisual translation, subtitling, dubbing, and content localization.",privately held,"",Import (file: export-11-leads)
Seedtrace,seedtrace.org,Information Technology and Services,Berlin,Berlin,,Germany,11 to 50,https://www.linkedin.com/company/seedtrace,"Seedtrace is a supply chain management company that specializes in providing transparent and sustainable solutions through their end-to-end platform for data collection, analysis, and sharing.",public company,"",Import (file: export-11-leads)
SatoshiPay,satoshipay.io,Financial Services,,,,,11 to 50,https://www.linkedin.com/company/satoshipay,SatoshiPay is a blockchain-based financial technology company that specializes in B2B cross-border money transfer and frictionless micropayment processing.,partnership,"",Import (file: export-11-leads)
I-potentials,i-potentials.de,Executive Search Services,Berlin,Berlin,,Germany,11 to 50,https://www.linkedin.com/company/i-potentials-gmbh,i-potentials is an Executive Search boutique specializing in filling top-level positions for the German-speaking digital and innovation economy.,privately held,"",Import (file: export-11-leads)
Parasol Island,parasol-island.com,Advertising Services,Düsseldorf,Nordrhein-Westfalen,,Germany,51 to 200,https://www.linkedin.com/company/parasol-island,"Parasol Island is a creative agency that combines strategy, creation, and production to deliver integrated marketing solutions for both national and international clients across various industries.",privately held,"",Import (file: export-11-leads)
Upday,upday.com,,"",Occitanie,65432,France,,,Upday is a news aggregator that provides digital content through its mobile application.,,"",Import (file: export-11-leads)
Combine Consulting,combine-consulting.com,Real Estate,Munich,Bayern,,Germany,51 to 200,https://www.linkedin.com/company/combine-consulting-gmbh,"Combine Consulting is a Real Estate Consulting firm that brings together two renowned consultancy companies in the German real estate industry, with almost eight decades of combined consulting experience.",privately held,"",Import (file: export-11-leads)
T'works Group,t-works.eu,Translation and Localization,Geisenhausen,Bayern,,Germany,51 to 200,https://www.linkedin.com/company/tworksgmbh,"t'works Group is a language service provider that specializes in highly individual, complex translation projects.",public company,"",Import (file: export-11-leads)
Stan Hema,stanhema.com,Design Services,Berlin,Berlin,,Germany,11 to 50,https://www.linkedin.com/company/stanhema,Stan Hema is a branding and marketing agency that develops holistic brands and inspires positive change.,privately held,"",Import (file: export-11-leads)
Paychex,paychex.de,Human Resources Services,Rochester,New York,,United States,10001+,https://www.linkedin.com/company/paychex,"Paychex Deutschland is a professional services company that specializes in payroll and HR services, trusted by over 6000 customers nationwide.",public company,"",Import (file: export-11-leads)
BBDO Dublin,bbdo.ie,Advertising Services,New York City,New York,,United States,5001 to 10000,https://www.linkedin.com/company/bbdo,"BBDO Dublin is an advertising agency that specializes in marketing, communication, and creative brand strategies.",public company,"",Import (file: export-11-leads)
HeyData,heydata.eu,Information Technology and Services,Berlin,Berlin,,Germany,51 to 200,https://www.linkedin.com/company/heydata,heyData is a data management company that offers data analytics and technology solutions.,public company,"",Import (file: export-11-leads)
Finlex,finlex.io,Insurance,Frankfurt am Main,Hessen,,Germany,51 to 200,https://www.linkedin.com/company/finlex-gmbh,"Finlex is a technology-driven insurance brokerage that specializes in cyber and financial lines insurance in Germany and Austria, offering a modern digital platform and expert services in commercial and industrial insurance.",privately held,"",Import (file: export-11-leads)
Campus Berlin,campus-berlin.de,Primary and Secondary Education,Berlin,Berlin,,Germany,51 to 200,https://www.linkedin.com/company/campus-berufsbildung-e.v.-berlin,"Campus Berlin is an education institution that offers a wide range of training, career development, coaching, and schooling programs.",educational,"",Import (file: export-11-leads)
Blumen Marsano GmbH,marsano-berlin.de,,Berlin,Berlin,,Germany,,https://www.linkedin.com/company/blumen-marsano-gmbh,,,"",Import (file: export-11-leads)
Valsight,valsight.com,Software Development,Berlin,Berlin,,Germany,11 to 50,https://www.linkedin.com/company/valsight,Valsight is a financial planning and analysis platform that offers driver-based planning and scenario simulation for FP&A and Controlling teams in volatile markets.,privately held,"",Import (file: export-11-leads)
FleishmanHillard,fleishmanhillard.de,Public Relations and Communications Services,Frankfurt am Main,Hessen,,Germany,51 to 200,https://www.linkedin.com/company/fleishmande,,public company,"",Import (file: export-11-leads)
